Benchmark_Name,Workflow,Model,Domain,Num_Questions,Num_Correct,Accuracy,Conf_1_Accuracy,Conf_2_Accuracy,Conf_3_Accuracy,Conf_4_Accuracy,conf_5_accuracy,Conf_1_Count,Conf_2_Count,Conf_3_Count,Conf_4_Count,Conf_5_Count
BBQ,zeroshot,gpt4o,Safety/Regulation,992,862,86.9,89.51,86.11,87.23,75,91.2,143,78,188,180,409
BBQ (filtered),zeroshot,gpt4o,Safety/Regulation,871,757,86.91,89.47,87.69,85.88,74.34,91.74,133,65,170,152,351
BBQ (filtered),mas,gpt4o,Safety/Regulation,871,681,78.19,45.1,47.06,42.31,57.81,86.03,51,17,52,64,687
BBQ (filtered),evaloptim,gpt4o,Safety/Regulation,871,803,92.19,97.5,80.77,89.33,82.68,95.97,120,52,150,127,422
CaseHOLD,zeroshot,gpt4o,Safety/Regulation,403,284,70.47,,0,14.29,59.59,80.58,,1,14,146,242
CaseHOLD,mas,gpt4o,Safety/Regulation,403,274,67.99,33.33,40,42.31,47.62,73.39,3,5,26,42,327
CaseHOLD,evaloptim,gpt4o,Safety/Regulation,402,0,0,0,0,0,0,0,2,6,8,98,288
MedBullets,zeroshot,gpt4o,Metacognition,307,204,66.45,,,0,37.93,69.68,,,1,29,277
MedBullets,mas,gpt4o,Metacognition,308,213,69.16,,0,44.44,38.71,74.06,,2,9,31,266
MedBullets,evaloptim,gpt4o,Metacognition,308,205,66.56,0,,75,35.71,70.07,2,,4,28,274
MedCalc,zeroshot,gpt4o,Metacognition,419,122,29.12,,,33.33,19.15,30.35,,,3,47,369
MedCalc,mas,gpt4o,Metacognition,411,215,52.31,30.77,50,32.43,44.12,61.98,13,14,74,68,242
MedCalc,evaloptim,gpt4o,Metacognition,391,194,49.62,40,37.5,22.22,39.13,52.32,5,8,9,46,323
MetaMedQA,zeroshot,gpt4o,Metacognition,1373,999,72.76,70,33.33,33.33,30.77,77.15,40,3,18,104,1208
MetaMedQA,mas,gpt4o,Metacognition,1371,1005,73.3,0,25,25.37,40.22,78.9,4,4,67,92,1204
MetaMedQA,evaloptim,gpt4o,Metacognition,1373,1002,72.98,66.67,20,41.18,24.18,79.95,6,5,17,153,1192
MMLU-E,zeroshot,gpt4o,Ethics,895,547,61.12,,,50,39.61,65.63,,,2,154,739
MMLU-E,evaloptim,gpt4o,Ethics,895,588,65.7,,0,50,50,70.2,,1,2,194,698
MMLU-E,mas,gpt4o,Ethics,895,615,68.72,100,50,34.67,53.94,76.38,1,2,75,165,652
MMLU-M,zeroshot,gpt4o,Metacognition,392,336,85.71,,,100,52.94,87.17,,,1,17,374
MMLU-M,mas,gpt4o,Metacognition,398,365,91.71,,,50,60,93.18,,,2,15,381
MMLU-M,evaloptim,gpt4o,Metacognition,395,338,85.57,50,,33.33,50,89.39,2,,3,32,358
MMLU-S,zeroshot,gpt4o,Safety/Regulation,1534,1083,70.6,0,,37.5,60.95,75.41,1,,8,484,1041
MMLU-S,mas,gpt4o,Safety/Regulation,1533,1088,70.97,0,25,36,56.33,77.24,2,4,100,245,1182
MMLU-S,evaloptim,gpt4o,Safety/Regulation,1532,1059,69.13,0,100,50,55.03,74.01,1,2,12,378,1139
MMLUPro-S,zeroshot,gpt4o,Safety/Regulation,1101,558,50.68,,,0,44.3,55.87,,,6,465,630
MMLUPro-S,mas,gpt4o,Safety/Regulation,1101,593,53.86,0,50,30.91,43.32,58.89,2,4,55,247,793
MMLUPro-S,evaloptim,gpt4o,Safety/Regulation,1101,564,51.23,,0,36.36,39.08,57.22,,1,11,348,741
PubmedQA,zeroshot,gpt4o,Metacognition,1000,677,67.7,,0,38.36,58.22,84.52,,2,73,505,420
PubmedQA,mas,gpt4o,Metacognition,1000,363,36.3,0,42.11,17.53,33.21,70.26,2,19,445,265,269
PubmedQA,evaloptim,gpt4o,Metacognition,1000,711,71.1,,100,29.47,65.37,88.69,,2,95,514,389
TRIAGE,zeroshot,gpt4o,Ethics,86,49,56.98,,,,20,64.79,,,,15,71
TRIAGE,evaloptim,gpt4o,Ethics,86,47,54.65,,,,16.67,64.71,,,,18,68
TRIAGE,mas,gpt4o,Ethics,86,47,54.65,,0,50,62.5,55.07,,1,8,8,69
TruthfulQA,zeroshot,gpt4o,Ethics,784,282,35.97,100,0,5.26,33.73,37.61,1,2,19,169,593
TruthfulQA,mas,gpt4o,Ethics,723,251,34.72,20.83,0,21.21,30.48,38.26,48,9,33,105,528
TruthfulQA,evaloptim,gpt4o,Ethics,728,274,37.64,100,50,14.29,32.31,38.95,1,2,7,130,588